Carimbo de data/hora,Qual sua faixa etária? ,Escolaridade,Qual seu gênero?,Qual sua religião?,Local do Brasil onde mora,Estado cívil,Raça,Quantos anos você tinha quando se casou?,Você namorou por quanto tempo antes de se casar?,Quanto tempo de noivado/preparação para o casamento?,"Pelo dicionário expectativas podem ser compreendidas como, situação de quem espera a ocorrência de algo, ou sua probabilidade de ocorrência, em determinado momento. Na sua perspectiva, as expectativas: ",Quais eram ás suas expectativas no inicio do casamento?,"As expectativas citadas na questão acima, se supriram ao longo do tempo? ",Quais fatores eram importantes para sustentar as expectativas criadas para o matrimônio? (Você pode marcar mais de uma).,"Na sua perspectiva, quais eram as expectativas que seu conjuge tinha em relação ao casamento no ínicio? ",Quais sentimentos apareceram nos primeiros anos de casado? (Tendo como referência os primeiros dois anos),Por algum momento você se arrependeu de ter casado?,Algum dos motivos para você ter se arrependido de se casar foi devido a uma quebra de expectativas?,"Se você respondeu sim, para a ultima pergunta, quais expectativas foram quebradas? ",O que você fez quando houve quebra de expectativas? ,"E atualmente, depois de um tempo de casado, quais caracteristicas são mais importantes para sustentar as expectativas criadas para o matrimônio? (Você pode marcar mais de uma).","E hoje, você se permite criar expectativas para o casamento? ","Se a sua resposta foi sim, na pergunta anterior, depois de um tempo de casado, quais são as expectativas para os proximos anos? ",O que foi importante para moldar e criar suas expectativas em relação ao casamento?,Conte um pouco de como foi o início do casamento para voce? 
05/04/2023 11:12:01,Acima de 42 anos,Pós Graduação,Femino,Ateu,Sudeste,Casado,Branco,18 a 23 anos,Menos de 1 ano,menos de 6 meses,Atrapalham muito a relação,Segurança afetiva (vínculo seguro e constante),não,"Personalidade do meu conjuge, A família do conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Aceitação Social, Ascensão financeira",Alegria,não,sim,fidelidade ao compromisso,"Convesei, Me separei","A família do conjuge ou minha familia, Ambiente",Sim,Ambiente,Valores,"ja estava gravida e tudo foi muito corrido. As duas familias ajudaram demais, mas ja começamos a vida conjugal com uma responsabilidade enorme "
05/04/2023 11:17:14,Acima de 42 anos,Ensino Médio,Femino,Católico,,Divorciado (a),Branco,,,,,,,,,,,,,,,,,,
05/04/2023 11:26:23,Acima de 42 anos,Pós Graduação,Masculino,Ateu,Sudeste,Casado,Branco,30 á 35 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ter filhos",sim,"Personalidade do meu conjuge, Financeiros, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",Alegria,sim,não,,Convesei,"Personalidade do meu conjuge, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros, Ambiente",Valores,
05/04/2023 11:27:20,Acima de 42 anos,Pós Graduação,Femino,Católico,Sudeste,Casado,Pardo,24 á 29 anos,Entre 3 e 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Financeiros, A família do conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,,"Personalidade do meu conjuge, Financeiros",Sim,"Personalidade do meu conjuge, Financeiros","Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião, Trabalho do meu conjuge","Muito trabalho, ajustes, distância das famílias, ajustes de horários, manutenção da casa, etc."
05/04/2023 11:28:58,Acima de 42 anos,Pós Graduação,Femino,"Apenas acredito em Deus, mas não tenho nenhuma religião.",Sul,Solteiro,Negro,24 á 29 anos,Entre 1 e 2 anos,menos de 6 meses,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,"Personalidade do meu conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",Alegria,não,,"Eu não me arrependi de casar, mas tive expectativas quebradas, pois a realidade, o dia a dia, é bem mais complexo, sobretudo com filho.","Convesei, Procurei Terapia individual, Me separei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros",Não,,"Filmes, Valores","Feliz, mas com todos os limites de uma vida a 2 (financeiros, acordos coletivos, divisão do trabalho da casa, etc.), mas a chegada do filho e o dia a dia, o meu avanço profissional (e não o dele), foram pondo muitos desafios à nossa convivência"
05/04/2023 11:33:19,36 á 41 anos,Pós Graduação,Femino,Católico,Sudeste,Casado,Pardo,18 a 23 anos,Acimas de 4 anos,Entre 6 e 1 ano,Atrapalham muito a relação,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, A família do conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Alegria,sim,sim,"Dificuldade de comunicação, desejos diferentes ","Convesei, Procurei Terapia individual, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros, Ambiente","Filmes, Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião",Nós sempre tivemos uma dificuldade comunicacional mas o casamento foi bom. Curtimos bastante a companhia um do outro.
05/04/2023 11:33:32,36 á 41 anos,Pós Graduação,Femino,Evangelico,Sudeste,Casados mas moram em residências diferentes,Pardo,30 á 35 anos,Acimas de 4 anos,Entre 6 e 1 ano,Atrapalham muito a relação,Reciprocidade Amorosa,não,"Personalidade do meu conjuge, A família do conjuge",Reciprocidade Amorosa,Tristeza,não,sim,Falta de responsabilidade do cônjuge ,Me afastei.,Personalidade do meu conjuge,Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Religião","Decepcionante .
Engravidei com 7 meses de casada ,já estava formada na faculdade e terminando a pòs e qdo contei ao meu marido sobre a gravidez ele simplesmente saiu de casa e foi cuidar da mãe dele e dos irmãos(vale ressaltar que o irmão mais novo tem 39 anos) minha gravidez foi muito conturbada passava muito mal não morremos pq Deus não quis fiquei dependente da minha mãe e minha irmã pois tive hiperemese gravídica (fazia vômitos várias vezes ao dia) e em momento algum tive apoio do meu marido.
Ressalto que não houve dúvidas sobre a paternidade, e nem meu marido era novo demais pelo contrário tem a idade de 51 anos ."
05/04/2023 11:33:59,Acima de 42 anos,Ensino Médio,Femino,Católico,Nordeste,Divorciado (a),Branco,18 a 23 anos,Entre 3 e 4 anos,Acima de 3 anos,São importantes para saúde e manutenção do casamento,"Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",não,"Financeiros, Minha família",Condições de sair da casa dos meus pais e construir minha própria família,Arrependimento,sim,sim,"Respeito,complicidade,confiança ",Me separei,"Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia",Sim,Personalidade do meu conjuge,Religião,"Casei grávida  aos 21 anos,casamento imposto pelos pais. Não  tinha projeto de vida.  Foi muito triste, . Mas, passou. Sigo minha vida feliz."
05/04/2023 11:35:27,Acima de 42 anos,Pós Graduação,Femino,Católico,Nordeste,Solteiro,Branco,36 á 41 anos,Acimas de 4 anos,menos de 6 meses,Atrapalham muito a relação,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",não,"Personalidade do meu conjuge, A família do conjuge",Condições de sair da casa dos meus pais e construir minha própria família,Alegria,sim,sim,"Reciprocidade amorosa, segurança afetiva e ter filhos ","Procurei Terapia individual, Foquei mais no trabalho, Me separei","Personalidade do meu conjuge, A família do conjuge ou minha familia",Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes)","Foi bom, com ilusões de estar realizando os sonhos. Depois, a falta de correspondência aos sonhos me levaram a desilusão e separação."
05/04/2023 11:47:42,Acima de 42 anos,Ensino Médio,Masculino,Evangelico,Sudeste,Casado,Negro,18 a 23 anos,Entre 1 e 2 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,Personalidade do meu conjuge,Reciprocidade Amorosa,Alegria,sim,não,,Convesei,Personalidade do meu conjuge,Sim,"Personalidade do meu conjuge, A família do conjuge ou minha familia","Valores, Religião",Lua de mel
05/04/2023 11:48:08,36 á 41 anos,Graduação completa,Femino,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Acimas de 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,"Personalidade do meu conjuge, Minha família, Trabalho (jornada, turno, tempo de descanso, etc)",Reciprocidade Amorosa,Alegria,não,não,,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros",Religião,
05/04/2023 11:51:37,Acima de 42 anos,Graduação completa,Femino,Católico,Sudeste,Casado,Negro,30 á 35 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",sim,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",Alegria,não,,,,"Financeiros, Ambiente",Sim,"Financeiros, Ambiente","Filmes, Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Foram ótimos momentos de liberdade acompanhada, viajar, ir em festas, motel. Fazer em casa o que eu queria e da forma como queria, ter momentos livres de intimidade.  "
05/04/2023 11:52:06,Acima de 42 anos,Graduação em curso,Femino,Católico,Sudeste,Casado,Branco,24 á 29 anos,Acimas de 4 anos,Acima de 3 anos,São importantes para saúde e manutenção do casamento,"Ascensão financeira, Ter filhos",sim,"Personalidade do meu conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Ascensão financeira, Segurança afetiva (vínculo seguro e constante)",Medo,não,não,,"Convesei, Perseverei e tentei reajustar a relação",Personalidade do meu conjuge,Sim,Financeiros,Valores,
05/04/2023 11:52:46,Acima de 42 anos,Graduação completa,Femino,Espirita,Sudeste,Casado,Branco,24 á 29 anos,Entre 2 e 3 anos,menos de 6 meses,Atrapalham muito a relação,Condições de sair da casa dos meus pais e construir minha própria família,sim,"Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)",Segurança afetiva (vínculo seguro e constante),Alegria,não,não,,,Ambiente,Sim,"Financeiros, Ambiente",Valores,"Primeiro fomos morar juntos, casamos após o nascimento do filho. Não sou fã de idealizações e expectativas, por isso também  acho que estamos casados há anos (juntos há 24 anos)"
05/04/2023 11:54:09,Acima de 42 anos,Graduação completa,Femino,Católico,Sudeste,Casado,Branco,18 a 23 anos,Entre 2 e 3 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Ascensão financeira, Condições de sair da casa dos meus pais e construir minha própria família",sim,"Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Ascensão financeira, Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,,,,Financeiros,Não,,"Valores, Religião","Foi um período de adaptação mas bem tranquilo,hoje temos 40 anos de casados e muito bem vividos ,Temos dois filhos e três netos que é nossa maior riqueza e a alegria da nossa família. Só gratidão!"
05/04/2023 11:54:56,Acima de 42 anos,Graduação completa,Masculino,Católico,Sudeste,Casado,Branco,30 á 35 anos,Acimas de 4 anos,2 e 3 anos,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,"Financeiros, Minha família",Reciprocidade Amorosa,Alegria,sim,não,,Foquei mais no trabalho,"Financeiros, Ambiente",Não,,Valores,Um sonho ! Tudo muito bom 
05/04/2023 11:57:03,30 á 35 anos,Pós Graduação,Femino,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Acimas de 4 anos,1 e 2 anos,Atrapalham muito a relação,"Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",Alegria,sim,sim,"Parceria, companheirismo e desligamento da familia original ","Convesei, Procurei Terapia individual, Perseverei e tentei reajustar a relação",Ambiente,Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Meu esposo sofreu muito com a saída da casa dos pais, então os dois primeiros anos ele frequentava todos os dias a casa dos pais, finais de semana e feriados. Ele ia em casa para dormir. Setembro de 2019 descobri a gravidez, ainda sim o comportamento dele não mudou, minha filha nasceu em abril de 2020 ele passava por um episódio de ansiedade agudo, ajudava no que dava conta. Com o passar dos meses a pandemia permitiu o home office, tivemos mais tempo juntos em nossa casa e as coisas começaram a melhorar. Ele ainda tem o hábito de passar na casa dos pais após o trabalho, mas são visitas breves e se eu precisar dele após o trabalho ele vai direto para casa. Finais de semana são raros irmos para casa dos meus sogros, hoje o motivo é a minha filha e não mais o desejo dele. "
05/04/2023 11:57:58,Acima de 42 anos,Ensino Médio,Masculino,Evangelico,Sudeste,Casado,Branco,36 á 41 anos,Acimas de 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ter filhos",sim,Personalidade do meu conjuge,"Reciprocidade Amorosa, Ter filhos",Alegria,não,,,,Personalidade do meu conjuge,Sim,"Personalidade do meu conjuge, Ambiente","Valores, Religião","Bem dentro daquilo esperado e planejado, tivemos, e temos um casamento abençoado "
05/04/2023 12:02:27,24 á 29 anos,Graduação completa,Masculino,Evangelico,Sudeste,Casado,Pardo,24 á 29 anos,Entre 3 e 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",sim,"Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família","Reciprocidade Amorosa, Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",Alegria,não,,,"Convesei, Pedi ajuda de lideres religiosos","Personalidade do meu conjuge, Financeiros, Ambiente",Sim,A família do conjuge ou minha familia,"Religião, Trabalho do meu conjuge","Foi muito desafiador, falta de dinheiro para pagamentos de contas entre outros. Falta de comunicação porem tudo foi ajustado e hoje esta mais que perfeito"
05/04/2023 12:04:24,Acima de 42 anos,Graduação completa,Femino,Católico,Sudeste,União estável (casado apenas no cartório),Branco,18 a 23 anos,Menos de 1 ano,menos de 6 meses,Atrapalham muito a relação,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",sim,"Personalidade do meu conjuge, Financeiros","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",Arrependimento,sim,sim,De ser valorizada e respeitada.,"Convesei, Procurei Terapia individual, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros",Não,"Personalidade do meu conjuge, Financeiros","Valores, Religião",Muito conflituoso
05/04/2023 12:08:20,24 á 29 anos,Graduação completa,Femino,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,Personalidade do meu conjuge,Reciprocidade Amorosa,Alegria,não,,,Convesei,Personalidade do meu conjuge,Sim,Personalidade do meu conjuge,Valores,
05/04/2023 12:08:33,Acima de 42 anos,Pós Graduação,Masculino,Evangelico,Sudeste,Casado,Branco,24 á 29 anos,Acimas de 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos",sim,"Personalidade do meu conjuge, Financeiros, A família do conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,"Convesei, Procurei Terapia individual, Pedi ajuda de lideres religiosos","Personalidade do meu conjuge, Ambiente",Sim,"Financeiros, Ambiente","Valores, Religião",Foi um momento de muita cumplicidade e companheirismo
05/04/2023 12:09:03,24 á 29 anos,Graduação completa,Masculino,Evangelico,Nordeste,Casado,Branco,24 á 29 anos,Entre 2 e 3 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante)",sim,"Personalidade do meu conjuge, Financeiros, Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social, Ascensão financeira, Segurança afetiva (vínculo seguro e constante)",Alegria,não,não,,Convesei,Personalidade do meu conjuge,Sim,"Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia, Ambiente",Religião,
05/04/2023 12:09:04,36 á 41 anos,Graduação completa,Femino,Espirita,Sudeste,Solteiro,Branco,,,,,,,,,,,,,,,,,,
05/04/2023 12:09:39,36 á 41 anos,Pós Graduação,Femino,Agnóstico ,Sudeste,Divorciado (a),Negro,30 á 35 anos,Acimas de 4 anos,Entre 6 e 1 ano,Atrapalham muito a relação,Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)),sim,Financeiros,Reciprocidade Amorosa,Alegria,sim,sim,Comprometimento,Me separei,,Não,,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Religião","Me ensinou muito, inclusive que não temos sempre que ceder pelo outro"
05/04/2023 12:10:44,Acima de 42 anos,Pós Graduação,Femino,Evangelico,Sudeste,Casado,Branco,18 a 23 anos,Entre 3 e 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Condições de sair da casa dos meus pais e construir minha própria família",Medo,não,não,Compartilhar problemas com a família ,Perseverei e tentei reajustar a relação,"Personalidade do meu conjuge, Financeiros",Sim,Financeiros,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Difícil, mto difícil, porém o amor, o temor a Deus e o *humor* foram a base pro nosso crescimento conjugal. "
05/04/2023 12:11:59,18 a 23 anos,Graduação em curso,Masculino,Evangelico,Sudeste,Casado,Pardo,18 a 23 anos,Entre 2 e 3 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, A família do conjuge, Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Aceitação Social, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,não,,"Convesei, Pedi ajuda de lideres religiosos","Personalidade do meu conjuge, Ambiente",Sim,"Personalidade do meu conjuge, Financeiros, A família do conjuge ou minha familia, Ambiente","Valores, Religião",
05/04/2023 12:14:45,24 á 29 anos,Graduação completa,Femino,Evangelico,Sudeste,Casado,Pardo,24 á 29 anos,Entre 3 e 4 anos,1 e 2 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o))",sim,"Personalidade do meu conjuge, Financeiros, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",Alegria,não,,,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Financeiros",Sim,"Personalidade do meu conjuge, Financeiros, Ambiente","Valores, Religião","Foi um momento de muitos desafios, para adaptar-me a nova rotina, e também de respeitar o jeito é espaço do outro, mas foi um momento gostoso de muito aprendizado e vivência de coisas novas "
05/04/2023 12:14:49,24 á 29 anos,Graduação completa,Femino,Evangelico,Sudeste,Casado,Pardo,24 á 29 anos,Entre 1 e 2 anos,menos de 6 meses,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",não,"Personalidade do meu conjuge, A família do conjuge, Minha família","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Condições de sair da casa dos meus pais e construir minha própria família",Arrependimento,sim,sim,"Todas as possíveis, ser bem tratada, ser amparada emocionalmente, não existir conversas sobre divórcio uma vez que tínhamos o mesmo objetivo, aprender e admirar a pessoa com que me casei","Convesei, Procurei Terapia individual, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação",Personalidade do meu conjuge,Sim,Personalidade do meu conjuge,"Histórias antigas das minhas referências (pais, avós, familiares, líderes), Valores, Religião","Caótico, difícil, muita adaptação, entender o que eu projetava nele, lidar com minhas frustrações, entender os limites do outro e esforçar para não ultrapassar, muitas reflexões referente a pessoa que eu idealizei e a que eu casei. Como não quero divorciar, busquei o que fazer para resolver a situação e me manter casada mesmo exaurida e não querendo estar mais ali"
05/04/2023 12:16:22,36 á 41 anos,Graduação completa,Masculino,Evangelico,Centro Oeste,Casado,Branco,24 á 29 anos,Acimas de 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Ter filhos",sim,"Personalidade do meu conjuge, Trabalho (jornada, turno, tempo de descanso, etc)","Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos",Alegria,não,não,,"Convesei, Procurei Terapia individual, Pedi ajuda de lideres religiosos, Perseverei e tentei reajustar a relação",Personalidade do meu conjuge,Sim,Financeiros,"Valores, Religião",Estranho porém prazeroso
05/04/2023 12:17:13,24 á 29 anos,Graduação completa,Femino,Evangelico,Nordeste,Casado,Pardo,18 a 23 anos,Acimas de 4 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, Financeiros, Trabalho (jornada, turno, tempo de descanso, etc)",Reciprocidade Amorosa,Alegria,não,não,,Convesei,"Personalidade do meu conjuge, Ambiente",Não,Financeiros,Valores,"A princípio, medo do novo. Mas o diálogo e a construção diária e a certeza de valores inegociáveis nós fizeram caminhar."
05/04/2023 12:17:42,36 á 41 anos,Graduação em curso,Femino,Evangelico,Sudeste,Casado,Pardo,30 á 35 anos,Menos de 1 ano,menos de 6 meses,São importantes para saúde e manutenção do casamento,"Ascensão financeira, Segurança afetiva (vínculo seguro e constante)",sim,Personalidade do meu conjuge,"Reciprocidade Amorosa, Ascensão financeira, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",Medo,não,,,"Convesei, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Sim,"Financeiros, Ambiente","Valores, Religião","No inicio não imaginava nos ver casados, éramos completamente diferentes um do outro, estava grávida e foi necessário o Senhor trabalhar me minha vida primeiro, quebrantar meu coração, me colocar totalmente dependente DELE e só então pudemos ser moldados um para o outro. Foi difícil e doído, má hoje agradecemos a Deus por cada lágrima, cada construção em nossas vidas, temos filhos lindos e perfeitos aos olhos do Senhor e estamos evoluindo constantemente juntos. Aprendemos a nos amar e respeitar, sabemos o valor da família e aprendemos o princípio das coisas segundo a palavra. 
"
05/04/2023 12:21:46,Acima de 42 anos,Ensino Médio,Femino,Católico,Sudeste,Casado,Pardo,36 á 41 anos,Entre 2 e 3 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,Reciprocidade Amorosa,sim,Minha família,Reciprocidade Amorosa,Alegria,não,não,,Perseverei e tentei reajustar a relação,A família do conjuge ou minha familia,Sim,A família do conjuge ou minha familia,Valores,Foi muito lindo. Cheio de muito amor e respeito.
05/04/2023 12:22:02,Acima de 42 anos,Ensino Médio,Femino,Católico,Sudeste,,Pardo,18 a 23 anos,Entre 1 e 2 anos,2 e 3 anos,Atrapalham muito a relação,Segurança afetiva (vínculo seguro e constante),sim,"Personalidade do meu conjuge, Trabalho (jornada, turno, tempo de descanso, etc)","Ascensão financeira, Ter filhos",Alegria,não,,,"Convesei, Procurei Terapia individual, Perseverei e tentei reajustar a relação","Personalidade do meu conjuge, Ambiente",Não,,"Filmes, Valores","Início de recomeçar, construir minha própria família, não foi fácil, longe dos familiares, mas desafiador, muito amor e cumplicidade "
05/04/2023 12:22:48,Acima de 42 anos,Pós Graduação,Femino,Católico,Sudeste,Divorciado (a),Branco,24 á 29 anos,Entre 3 e 4 anos,2 e 3 anos,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante), Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",sim,"Personalidade do meu conjuge, A família do conjuge, Ambiente (aspectos referentes a casa, como ter uma casa propria ou ter uma casa bonita), Minha família, Trabalho (jornada, turno, tempo de descanso, etc)","Ascensão financeira, Ter filhos, Cerimônia e festa de casamento (exemplo: se vestir de noiva(o)), Condições de sair da casa dos meus pais e construir minha própria família",Alegria,sim,sim,Financeiro e brutalidade,Me separei,"Personalidade do meu conjuge, A família do conjuge ou minha familia",Não,,"Valores, Religião","Foi ótimo, mas depois de 13 anos de casada, desandou tudo, me separei pois fui acredita. "
05/04/2023 12:26:18,Acima de 42 anos,Pós Graduação,Masculino,Evangelico,Sudeste,Casado,Negro,18 a 23 anos,Entre 1 e 2 anos,Entre 6 e 1 ano,São importantes para saúde e manutenção do casamento,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",sim,Personalidade do meu conjuge,"Reciprocidade Amorosa, Segurança afetiva (vínculo seguro e constante)",Medo,não,,,Convesei,"Personalidade do meu conjuge, Ambiente",Sim,"Financeiros, Ambiente","Valores, Religião",Tempo de muitos ajustes pois não nos conhecíamos em profundidade. 
